L1,L2,L3,switch
6.08,5.98,5.9,not_switch
3.5,5.16,1.27,switch
1.37,1.4,1.23,not_switch
2.61,0.42,4.79,switch
4.07,4.02,3.98,not_switch
0.67,3.72,1.89,switch
5.28,5.15,5.19,not_switch
4.04,1.73,3.86,switch
5.03,5.01,5.02,not_switch
5.35,2.02,3.66,switch
0.92,0.8,0.92,not_switch
4.48,1.31,3.68,switch
5.37,5.41,5.4,not_switch
2.25,2.62,4.97,switch
3.69,3.56,3.7,not_switch
5.34,3.3,0.79,switch
5.54,5.55,5.45,not_switch
0.34,1.42,-3.24,switch
3.32,3.28,3.27,not_switch
-0.41,0.7,-1.27,switch
2.62,2.7,2.8,not_switch
1.86,3.58,6.31,switch
2.67,2.55,2.59,not_switch
6.13,3.67,0.71,switch
0.62,0.59,0.66,not_switch
4.19,2.99,0.65,switch
5.93,5.94,5.94,not_switch
5.5,0.98,2.73,switch
0.53,0.56,0.54,not_switch
5.14,1.15,2.52,switch
0.93,0.87,0.88,not_switch
4.45,1.26,2.52,switch
3.76,3.7,3.78,not_switch
2.9,0.85,4.3,switch
6.37,6.43,6.37,not_switch
4.35,3.07,1.75,switch
5.04,5.0,4.87,not_switch
4.03,0.7,3.43,switch
4.3,4.12,4.09,not_switch
6.35,1.83,3.38,switch
5.7,5.62,5.59,not_switch
6.32,0.82,3.39,switch
3.23,3.15,3.18,not_switch
4.63,0.74,2.15,switch
3.74,3.76,3.55,not_switch
6.22,3.27,1.85,switch
2.9,3.02,2.97,not_switch
1.9,0.98,5.2,switch
2.93,2.93,2.71,not_switch
1.85,5.66,3.2,switch
0.6,0.59,0.58,not_switch
2.09,5.54,3.12,switch
3.15,2.98,3.15,not_switch
2.28,3.89,5.16,switch
5.55,5.43,5.44,not_switch
1.83,2.65,4.05,switch
4.01,4.17,4.02,not_switch
1.01,4.15,3.72,switch
4.48,4.6,4.45,not_switch
3.79,4.84,1.81,switch
4.07,4.08,3.96,not_switch
-1.67,1.4,0.42,switch
5.41,5.18,5.33,not_switch
1.37,1.96,4.12,switch
1.16,1.06,1.13,not_switch
6.32,3.42,1.89,switch
3.61,3.71,3.61,not_switch
4.24,2.26,3.6,switch
2.69,2.85,2.7,not_switch
0.78,3.46,5.01,switch
2.9,2.95,3.0,not_switch
0.59,3.06,5.25,switch
2.22,2.13,2.13,not_switch
-0.69,-0.69,0.86,switch
2.48,2.35,2.3,not_switch
0.61,3.71,6.1,switch
5.66,5.71,5.59,not_switch
2.98,4.42,0.97,switch
3.05,3.04,3.2,not_switch
3.93,2.21,1.63,switch
4.08,4.19,4.2,not_switch
-0.5,0.87,-2.37,switch
1.7,1.77,1.7,not_switch
3.26,4.46,2.08,switch
0.64,0.5,0.53,not_switch
0.55,-1.08,-0.91,switch
1.54,1.49,1.53,not_switch
3.91,4.79,1.29,switch
4.96,4.94,5.05,not_switch
1.42,-0.01,-1.18,switch
0.78,0.66,0.66,not_switch
2.75,0.75,4.25,switch
4.01,3.79,3.83,not_switch
-1.7,-1.19,-0.07,switch
6.09,6.19,6.05,not_switch
1.96,5.46,3.05,switch
1.06,1.13,1.09,not_switch
2.95,1.69,5.25,switch
5.38,5.44,5.49,not_switch
-0.37,0.14,-2.94,switch
0.75,0.86,0.65,not_switch
